variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,n,finite_loglik_rate,finite_grad_rate,loglik_mean,loglik_std,loglik_cv,grad_norm_mean,grad_norm_std,grad_norm_cv,grad_log10_median,grad_log10_mad,grad_log_sigma_v2_mean,grad_log_sigma_v2_std,grad_log_sigma_v2_snr,grad_log_sigma_w2_mean,grad_log_sigma_w2_std,grad_log_sigma_w2_snr,grad_vector_snr,grad_cosine_to_mean,grad_cosine_to_mean_std,elapsed_mean_s,n_errors,first_error
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,50,1.0,0.96,-480097.7846705627,2873088.363209128,5.984381630047734,13628947753370.812,62952831659726.336,4.619052974515687,8.532287259252271,2.9712210135102826,11393681491246.775,51584433474661.4,0.22087441353491696,4643961344336.836,36567776629173.34,0.12699599954983148,0.1945842824463508,0.15144407033546325,0.7701534556675684,1.5575578784942627,0,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,50,1.0,0.88,-1020084.4714164734,3878185.4370787824,3.801827736573222,9.812274215907654e+20,6.264130358612327e+21,6.38397401130201,14.130302982767969,1.798230554912636,9.083838017604327e+20,6.273258289255176e+21,0.14480255074405443,3.0209443327874707e+19,1.596024629830618e+20,0.1892793053643587,0.1448357357447269,-0.16866875634878067,0.882849872959617,1.687691502571106,0,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,50,1.0,0.9,-1280089.6353227233,4823565.238148235,3.7681464680652352,264044195505422.8,808537113211481.6,3.062127958025407,12.077956940908074,1.7290018589107703,20677362309911.73,755580591034446.6,0.027366190390892477,76985836982974.9,384233407579510.3,0.20036216389394523,0.09403979216063402,0.08872683937228533,0.4438756997217597,1.7252091264724732,0,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,50,1.0,0.96,-480097.7846705627,2873088.363209128,5.984381630047734,13553220435537.107,65316247945418.31,4.819241910517178,8.527602273238125,2.770523047206729,-8044289088289.862,65084985003657.93,0.12359669573309043,-1824751438208.361,12176497008165.877,0.1498584886100358,0.12457528408708231,-0.07102721718150923,0.8549212595072618,1.6649382305145264,0,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,50,1.0,0.88,-1020084.4714164734,3878185.4370787824,3.801827736573222,3.380645285966727e+19,1.615307265349678e+20,4.778103375870047,13.850373561863744,2.0123619960405197,3.1961634372611183e+19,1.617326893019495e+20,0.19762012559464637,-1.116859534886535e+18,7.588692738434783e+18,0.1471741673279151,0.1975234281998502,-0.26495611793275714,0.8258755832705108,1.6229144382476806,0,
stop_flow_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,50,1.0,0.9,-1280089.6353227233,4823565.238148235,3.7681464680652352,323447369.8399788,1089044072.2324605,3.366990038506884,5.641481725674179,1.784458774252974,-76811215.07321364,935454358.2323095,0.08211113070055144,-80785421.63149418,636576280.2340777,0.12690611343826427,0.09851750507393855,-0.05655192955829802,0.6198347775426645,1.5397030544281005,0,
stop_flow_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,50,1.0,0.96,-480097.7846705627,2873088.363209128,5.984381630047734,79667943.97337152,309219511.57160944,3.8813542329517627,3.9254236280672714,1.7950179959466614,10570614.917590195,308427837.94499725,0.03427257081598219,12601056.163114935,81821257.70498939,0.1540071188901626,0.05154440662127334,0.12298666824097364,0.6056519197652228,1.5413713550567627,0,
stop_flow_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,50,1.0,0.88,-1020084.4714164734,3878185.4370787824,3.801827736573222,1729911071441160.8,1.1474435919402242e+16,6.632962878168689,7.791387032429334,1.3495782250686306,-1712652048428828.8,1.1360176400984666e+16,0.1507592829527173,243488188231307.4,1615302937570133.5,0.1507384048948624,0.1507588692337223,-0.13827471780203895,0.8644860698439748,1.5667313623428345,0,
measurement_only,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,50,1.0,0.0,-15300017.342633514,6061749.662842158,0.39619233933487685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.40449285030365,0,
measurement_only,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,50,1.0,0.0,-16860018.471800767,4567000.544156204,0.2708775528208788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4114639234542847,0,
measurement_only,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,50,1.0,0.0,-15340016.00875,5998666.704674374,0.3910469650913476,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4052517366409303,0,
