variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,245789,-166.5751495361328,565.7026977539062,8.163078308105469,565.7615912144546,1,1,1.5967521667480469,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,253708,-72.19062805175781,-285093888.0,228701616.0,365490019.20157546,1,1,1.6351258754730225,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,261627,-76.65933990478516,-259767664.0,870984704.0,908896910.4700403,1,1,1.6222679615020752,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,269546,-83.26707458496094,258286436352.0,-171635982336.0,310114162262.6407,1,1,1.568079948425293,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,277465,-157.54649353027344,5081.126953125,2366.734619140625,5605.290703541795,1,1,1.6423871517181396,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,285384,-82.92452239990234,-20864088064.0,9654163456.0,22989411536.12926,1,1,1.5995581150054932,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,293303,-78.2751693725586,125574464.0,-88757440.0,153775255.37042978,1,1,1.62180495262146,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,301222,-73.93766784667969,-1173158756352.0,158110990336.0,1183765412938.899,1,1,1.6477000713348389,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,309141,-83.4688720703125,19231481856.0,375260800.0,19235142709.261967,1,1,1.5512280464172363,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,317060,-80.35370635986328,-7807765053440.0,975217557504.0,7868433415501.651,1,1,1.6740038394927979,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,324979,-161.00332641601562,3.1266212463378906,21.467830657958984,21.694319845914855,1,1,1.6668362617492676,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,332898,-80.36068725585938,-3178153377792.0,-244822818816.0,3187569153035.54,1,1,1.6133291721343994,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,340817,-79.04198455810547,-11454423040.0,10742241280.0,15703488621.864216,1,1,1.6905505657196045,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,348736,-81.54220581054688,1032732352.0,-90868904.0,1036722368.1302594,1,1,1.6381280422210693,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,356655,-82.15233612060547,-420420124672.0,1441019392.0,420422594262.1402,1,1,1.9833531379699707,
