t,nees_riccati,nees_joseph,cond_riccati_filt,cond_joseph_filt,eigmin_riccati,eigmin_joseph,cov_diff
42,0.7259538769721985,0.7259541749954224,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
43,3.8221960067749023,3.822197437286377,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
44,1.6414326429367065,1.6414334774017334,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
45,5.126114368438721,5.126112937927246,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
46,7.469930648803711,7.469929218292236,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
47,2.954106569290161,2.954106330871582,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
48,2.231721878051758,2.2317235469818115,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
49,4.084133148193359,4.084134101867676,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
50,8.706645965576172,8.706613540649414,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
51,9.867780685424805,9.867755889892578,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
52,3.6949703693389893,3.6949615478515625,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
53,7.259735107421875,7.259720802307129,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
54,5.777185440063477,5.777181625366211,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
55,11.996166229248047,11.996136665344238,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
56,4.7517828941345215,4.7517852783203125,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
57,2.860877513885498,2.860879898071289,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
58,2.8731741905212402,2.8731794357299805,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
59,6.4553704261779785,6.455375671386719,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
60,2.4983997344970703,2.4984030723571777,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
61,3.592756748199463,3.5927557945251465,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
62,4.438322067260742,4.438314437866211,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
63,2.617631673812866,2.6176276206970215,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
64,4.723351955413818,4.723345756530762,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
65,4.464471817016602,4.4644646644592285,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
66,3.237624168395996,3.237619161605835,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
67,3.1964259147644043,3.196425199508667,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
68,0.9869099259376526,0.9869087338447571,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
69,1.9685319662094116,1.9685319662094116,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
70,1.2965595722198486,1.2965648174285889,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
71,3.667449951171875,3.6674599647521973,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
72,2.596444606781006,2.596444845199585,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
73,4.137869834899902,4.1378703117370605,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
74,2.927468776702881,2.927473545074463,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
75,3.775254011154175,3.775254249572754,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
76,7.783093452453613,7.7830963134765625,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
77,6.965593338012695,6.965596675872803,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
78,6.088347911834717,6.08835506439209,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
79,7.328636169433594,7.328647613525391,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
80,5.608495235443115,5.608506202697754,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
81,3.2865242958068848,3.286527633666992,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
82,2.67918062210083,2.6791839599609375,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
83,2.5729968547821045,2.5729947090148926,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
84,1.2944694757461548,1.294467806816101,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
85,2.5450925827026367,2.545091152191162,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
86,1.2654874324798584,1.2654869556427002,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
87,1.189213514328003,1.189213514328003,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
88,1.8253525495529175,1.825353741645813,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
89,8.089058876037598,8.089061737060547,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
90,5.354285717010498,5.354287147521973,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
91,4.515570640563965,4.515576362609863,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
92,3.226945638656616,3.2269484996795654,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
93,4.641402244567871,4.641403675079346,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
94,2.1572723388671875,2.15727162361145,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
95,1.4200202226638794,1.4200197458267212,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
96,4.707198143005371,4.7071967124938965,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
97,6.903722286224365,6.903721332550049,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
98,3.8183915615081787,3.818390369415283,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
99,2.160179376602173,2.1601788997650146,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
100,3.2089035511016846,3.2089028358459473,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
101,1.8136470317840576,1.813646674156189,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
102,1.7567427158355713,1.7567402124404907,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
103,2.603095054626465,2.6030941009521484,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
104,2.9299702644348145,2.929969072341919,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
105,4.116663932800293,4.116663932800293,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
106,3.0251529216766357,3.0251502990722656,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
107,1.444397211074829,1.4443910121917725,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
108,2.7302706241607666,2.7302637100219727,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
109,1.9089844226837158,1.9089841842651367,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
110,5.724649906158447,5.72464656829834,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
111,3.2109692096710205,3.2109670639038086,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
112,3.4659969806671143,3.4659996032714844,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
113,1.6533257961273193,1.6533217430114746,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
114,2.0119400024414062,2.011929988861084,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
115,5.859920501708984,5.859911918640137,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
116,5.2433905601501465,5.243378162384033,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
117,3.4491143226623535,3.4491078853607178,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
118,1.9424147605895996,1.9424169063568115,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
119,2.8594303131103516,2.8594284057617188,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
120,3.923092842102051,3.9230892658233643,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
121,3.009838342666626,3.0098390579223633,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
122,8.61433219909668,8.61433219909668,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
123,6.210011959075928,6.210011959075928,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
124,4.767651081085205,4.767651557922363,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
125,5.0826287269592285,5.08262825012207,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
126,2.3553738594055176,2.3553731441497803,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
127,2.6594340801239014,2.659433603286743,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
128,2.7000322341918945,2.7000317573547363,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
129,7.690412521362305,7.690410614013672,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
130,5.114785194396973,5.114784240722656,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
131,4.800643444061279,4.800642967224121,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
132,1.7647074460983276,1.764707326889038,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
133,2.5515880584716797,2.5515878200531006,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
134,5.252849578857422,5.2528486251831055,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
135,6.286068439483643,6.286067485809326,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
136,13.536077499389648,13.536075592041016,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
137,4.6309590339660645,4.630959510803223,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
138,4.441012382507324,4.441013336181641,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
139,3.003690719604492,3.0036911964416504,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
140,3.6771063804626465,3.6771059036254883,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
141,1.7877124547958374,1.7877120971679688,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
142,1.5440633296966553,1.5440629720687866,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
143,1.5989011526107788,1.5989007949829102,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
144,4.964086532592773,4.964086055755615,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
145,3.1721458435058594,3.1721458435058594,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
146,5.568079948425293,5.568078994750977,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
147,6.794604301452637,6.794604301452637,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
148,5.7404961585998535,5.740495681762695,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
149,1.954360842704773,1.9543604850769043,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
150,0.8246949315071106,0.8246956467628479,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
151,1.2033755779266357,1.2033758163452148,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
152,2.317891836166382,2.3178927898406982,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
153,2.5810141563415527,2.5810153484344482,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
154,5.209721565246582,5.209721565246582,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
155,3.005831718444824,3.0058321952819824,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
156,4.074222087860107,4.074223518371582,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
157,4.802100658416748,4.802102088928223,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
158,8.576896667480469,8.576898574829102,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
159,5.194395065307617,5.194396495819092,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
160,8.03322696685791,8.033228874206543,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
161,3.941037893295288,3.941037893295288,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
162,5.798304557800293,5.798303127288818,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
163,4.585897922515869,4.5858964920043945,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
164,6.08134126663208,6.081338405609131,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
165,1.762211799621582,1.7622108459472656,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
166,7.121727466583252,7.121725559234619,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
167,3.277289867401123,3.2772884368896484,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
168,3.7713520526885986,3.7713534832000732,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
169,1.384045958518982,1.384047269821167,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
170,2.426692008972168,2.4266910552978516,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
171,4.364992141723633,4.364990234375,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
172,5.154842376708984,5.154841899871826,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
173,1.943052053451538,1.9430495500564575,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
174,2.528947353363037,2.528942584991455,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
175,3.506638765335083,3.506650686264038,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
176,4.64589262008667,4.645919322967529,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
177,1.3907721042633057,1.3907890319824219,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
178,3.1192429065704346,3.119260549545288,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
179,1.579062819480896,1.579076886177063,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
180,0.2561646103858948,0.2561653256416321,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
181,2.2672791481018066,2.267292022705078,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
182,0.26206159591674805,0.26206153631210327,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
183,1.604361653327942,1.6043649911880493,17.944271087646484,17.944271087646484,0.5278640389442444,0.5278640985488892,2.6973982585332124e-06
