t,x_true,vx_true,y_true,vy_true,x_filt_r,vx_filt_r,y_filt_r,vy_filt_r,x_filt_j,vx_filt_j,y_filt_j,vy_filt_j
47,-31.16931915283203,2.2912535667419434,-136.7052764892578,-1.0474027395248413,-28.89196014404297,1.7795215845108032,-138.0928955078125,-1.763471245765686,-28.89196014404297,1.7795215845108032,-138.0928955078125,-1.7634717226028442
48,-29.19708251953125,1.65321946144104,-137.29818725585938,-0.13841462135314941,-29.465831756591797,1.2565453052520752,-137.5968780517578,-1.261361837387085,-29.465831756591797,1.2565453052520752,-137.5968780517578,-1.2613623142242432
49,-27.200349807739258,2.3402457237243652,-137.3280792236328,0.07862454652786255,-29.36458969116211,0.9998109936714172,-135.35133361816406,-0.4820479154586792,-29.36458969116211,0.9998109936714172,-135.35133361816406,-0.4820483922958374
50,-24.582714080810547,2.895026683807373,-136.73622131347656,1.1050982475280762,-27.094324111938477,1.2821342945098877,-135.23580932617188,-0.34925615787506104,-27.094324111938477,1.2821342945098877,-135.23582458496094,-0.34925544261932373
51,-21.384029388427734,3.502342939376831,-135.5200653076172,1.3271989822387695,-25.195682525634766,1.4191358089447021,-137.7056427001953,-0.8204963803291321,-25.195682525634766,1.4191358089447021,-137.70565795898438,-0.8204944133758545
52,-17.91893768310547,3.4278414249420166,-134.3754119873047,0.9621202945709229,-19.520681381225586,2.3648836612701416,-137.6316680908203,-0.6217268705368042,-19.520679473876953,2.3648836612701416,-137.63168334960938,-0.6217236518859863
53,-14.615070343017578,3.1798932552337646,-133.1446990966797,1.4992796182632446,-11.74575424194336,3.5671157836914062,-139.49667358398438,-0.8980110883712769,-11.745752334594727,3.567115545272827,-139.49667358398438,-0.8980066180229187
54,-11.52929973602295,2.991647481918335,-131.7400665283203,1.3099780082702637,-9.044695854187012,3.3746585845947266,-138.37667846679688,-0.4495638310909271,-9.044694900512695,3.3746581077575684,-138.37667846679688,-0.44955936074256897
55,-8.659037590026855,2.748875617980957,-130.78433227539062,0.6014847159385681,-2.1734282970428467,4.1516828536987305,-138.34091186523438,-0.34171104431152344,-2.1734273433685303,4.151682376861572,-138.3408966064453,-0.3417077958583832
56,-6.518009662628174,1.5331802368164062,-130.02340698242188,0.9203511476516724,-5.4609527587890625,2.498525619506836,-135.11273193359375,0.45159584283828735,-5.460953712463379,2.4985251426696777,-135.11273193359375,0.45159783959388733
57,-5.056062698364258,1.3907138109207153,-128.91688537597656,1.2926967144012451,-1.4433932304382324,2.8360886573791504,-130.63058471679688,1.3472726345062256,-1.4433939456939697,2.8360884189605713,-130.63058471679688,1.347274661064148
58,-3.364206552505493,1.992998719215393,-127.88211822509766,0.776839554309845,-0.13182032108306885,2.497307300567627,-126.44287109375,1.9784817695617676,-0.1318211555480957,2.497307300567627,-126.44287109375,1.9784836769104004
59,-1.1458266973495483,2.443761110305786,-127.27816772460938,0.43105366826057434,3.5053153038024902,2.7506024837493896,-123.51873016357422,2.1886281967163086,3.505314826965332,2.7506024837493896,-123.51873016357422,2.1886301040649414
60,0.9624190926551819,1.7727304697036743,-126.85385131835938,0.41758424043655396,3.616243362426758,2.164008140563965,-123.68862915039062,1.6645102500915527,3.6162428855895996,2.164008140563965,-123.68862915039062,1.6645121574401855
61,2.4975943565368652,1.2976200580596924,-126.26551818847656,0.7590771317481995,7.175112247467041,2.4739773273468018,-123.08280181884766,1.4292465448379517,7.175112247467041,2.4739773273468018,-123.08280181884766,1.4292484521865845
62,3.6184024810791016,0.9439963102340698,-125.17428588867188,1.4233787059783936,5.652581691741943,1.5858644247055054,-120.12899017333984,1.7680392265319824,5.652581214904785,1.5858644247055054,-120.12899017333984,1.7680411338806152
63,4.399989604949951,0.6191772818565369,-123.82371520996094,1.2777587175369263,4.460930824279785,0.9686387777328491,-120.18460845947266,1.3627822399139404,4.460929870605469,0.9686387777328491,-120.18460845947266,1.3627835512161255
64,4.77782678604126,0.1364974081516266,-122.2096939086914,1.950284481048584,2.5768325328826904,0.3346971869468689,-121.25653076171875,0.8217355012893677,2.576831579208374,0.33469724655151367,-121.25653076171875,0.8217368125915527
65,5.026371479034424,0.3605915904045105,-120.04859924316406,2.3719046115875244,3.7331535816192627,0.5172802209854126,-119.29013061523438,1.0761044025421143,3.7331531047821045,0.5172803997993469,-119.29013061523438,1.0761057138442993
66,5.195950031280518,-0.02143457531929016,-117.73433685302734,2.256629467010498,4.071018218994141,0.47741010785102844,-118.0588150024414,1.110595941543579,4.071018218994141,0.47741031646728516,-118.0588150024414,1.1105972528457642
67,4.813264846801758,-0.7439351081848145,-115.74962615966797,1.7127923965454102,4.188647270202637,0.39745867252349854,-115.7354736328125,1.380094289779663,4.188647270202637,0.39745891094207764,-115.7354736328125,1.3800954818725586
68,4.469420909881592,0.056247591972351074,-114.02227020263672,1.741914987564087,2.484187602996826,-0.06963425874710083,-115.43256378173828,1.1407198905944824,2.484187602996826,-0.06963405013084412,-115.43256378173828,1.140721082687378
69,4.874927520751953,0.7547649145126343,-111.88446044921875,2.5337119102478027,3.888446807861328,0.25789761543273926,-113.77349853515625,1.255908489227295,3.8884472846984863,0.25789782404899597,-113.77349090576172,1.2559090852737427
70,5.742459774017334,0.9802992343902588,-109.43917083740234,2.3568575382232666,8.302614212036133,1.1815133094787598,-109.10872650146484,2.0134341716766357,8.302616119384766,1.1815134286880493,-109.10871887207031,2.0134334564208984
71,6.785391330718994,1.1055634021759033,-106.7848892211914,2.9516987800598145,10.644989013671875,1.4394826889038086,-107.9784927368164,1.8171677589416504,10.644990921020508,1.439482569694519,-107.97848510742188,1.8171663284301758
72,8.040253639221191,1.4041602611541748,-104.2353515625,2.147383451461792,6.721117973327637,0.24762630462646484,-101.16993713378906,2.926363945007324,6.721117973327637,0.2476259469985962,-101.16993713378906,2.9263620376586914
73,9.65378189086914,1.8228950500488281,-102.15402221679688,2.0152697563171387,7.801708698272705,0.4327295422554016,-97.8799057006836,3.0071792602539062,7.801708698272705,0.43272918462753296,-97.8799057006836,3.0071773529052734
74,11.429141998291016,1.727825403213501,-99.8620834350586,2.568613290786743,13.18291187286377,1.5323903560638428,-96.62969970703125,2.6167404651641846,13.182912826538086,1.5323901176452637,-96.62969970703125,2.6167385578155518
75,13.233403205871582,1.88069748878479,-97.64185333251953,1.8718507289886475,16.360506057739258,1.8979911804199219,-93.55545043945312,2.718409776687622,16.360506057739258,1.8979908227920532,-93.55545043945312,2.7184078693389893
76,15.753469467163086,3.159435749053955,-95.4442138671875,2.523430824279785,17.257795333862305,1.6756128072738647,-93.68183135986328,2.0862345695495605,17.257793426513672,1.675612449645996,-93.68183135986328,2.0862326622009277
