method,method_label,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-73.0185546875,13034923753472.0,-3730091802624.0,13558127529818.834,1,1,9.100327968597412,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,79490,-1455.1923828125,nan,nan,nan,1,0,10.548548936843872,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,87409,-78.55339050292969,87787864850432.0,-4664858247168.0,87911717748340.5,1,1,10.051555156707764,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,95328,-88.31083679199219,37216628.0,-16667226.0,40778349.92033714,1,1,9.830948114395142,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,103247,-75.75891876220703,78554.1875,-28186.400390625,83457.97469844198,1,1,11.379745960235596,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,111166,-86.28861999511719,-5951976374272.0,2044250161152.0,6293248881242.664,1,1,10.112766981124878,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,119085,-82.7237777709961,475247837184.0,171169972224.0,505133315214.1469,1,1,9.949398040771484,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,127004,-82.52124786376953,4662398976.0,-2403552512.0,5245476993.500911,1,1,11.47459626197815,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,134923,-79.5252685546875,-556412567552.0,19877476352.0,556767509285.4586,1,1,11.00908899307251,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,142842,-77.66402435302734,-40666056.0,1568102.375,40696278.1548094,1,1,10.158272981643677,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,150761,-92.98939514160156,8553740894208.0,-1588210171904.0,8699936484560.425,1,1,11.103202104568481,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-94.66410064697266,-18303.076171875,-38724.8515625,42832.426103258695,1,1,34.25435519218445,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-90.95246887207031,4412781.0,-434357.03125,4434106.695215769,1,1,0.32202601432800293,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-94.21753692626953,-53384.27734375,-2446.830810546875,53440.32230937479,1,1,1.7088778018951416,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-93.70039367675781,318104.78125,-119003.515625,339635.8175829222,1,1,0.32448911666870117,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-93.25761413574219,-2794597.75,62725.8984375,2795301.615682976,1,1,0.31131529808044434,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-89.93201446533203,-2390347.0,-275612.09375,2406183.868001417,1,1,0.29700493812561035,
legacy_ledh,Legacy differentiable LEDH,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-92.7828598022461,5640.466796875,-1587.5733642578125,5859.629243693682,1,1,0.3594779968261719,
