variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-83.41910552978516,2469.751953125,-2397.376708984375,3441.9601675129106,1,1,1.0245890617370605,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-75.95244598388672,25563.8203125,7980.75341796875,26780.614893766116,1,1,0.9825139045715332,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-80.77847290039062,238.18409729003906,45.1038818359375,242.41704634480845,1,1,1.0204429626464844,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-78.64127349853516,-450.6242980957031,-73.0892562866211,456.5131952296412,1,1,0.9457061290740967,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-110.60728454589844,nan,nan,nan,1,0,0.9354293346405029,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-121.4363784790039,-287623072.0,210941056.0,356683558.1479925,1,1,1.0035288333892822,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-98.04084014892578,nan,nan,nan,1,0,0.9094538688659668,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-115.24079132080078,nan,nan,nan,1,0,0.998431921005249,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-94.18714904785156,nan,nan,nan,1,0,0.9327771663665771,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-116.82662963867188,nan,nan,nan,1,0,0.9296369552612305,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-95.0931167602539,nan,nan,nan,1,0,0.9692630767822266,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-92.75354766845703,nan,nan,nan,1,0,0.918956995010376,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-93.95177459716797,nan,nan,nan,1,0,0.9392220973968506,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-97.26604461669922,1321768.125,-733109.75,1511463.159263592,1,1,1.0028927326202393,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,300,-84.66439056396484,nan,nan,nan,1,0,0.9385910034179688,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,8219,-113.24103546142578,nan,nan,nan,1,0,1.0051870346069336,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,16138,-96.37262725830078,nan,nan,nan,1,0,0.9393899440765381,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-90.86796569824219,nan,nan,nan,1,0,0.9388442039489746,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-92.3302230834961,nan,nan,nan,1,0,1.0098340511322021,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-123.51118469238281,-3794.23779296875,1308.5859375,4013.556725077537,1,1,0.9416136741638184,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-99.79368591308594,48.81182098388672,3.3821232318878174,48.92885268753682,1,1,0.913783073425293,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,55733,-80.44058990478516,13.537651062011719,4.234373092651367,14.184424971233657,1,1,0.9921979904174805,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,63652,-99.57197570800781,nan,nan,nan,1,0,0.966076135635376,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,71571,-102.0739517211914,-208.9678497314453,244.3485107421875,321.51789518362557,1,1,0.9070432186126709,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-95.99784851074219,nan,nan,nan,1,0,1.0804290771484375,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-88.68025970458984,nan,nan,nan,1,0,0.9282717704772949,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-92.05746459960938,nan,nan,nan,1,0,0.9846770763397217,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-115.85452270507812,nan,nan,nan,1,0,0.9116806983947754,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-94.08757019042969,nan,nan,nan,1,0,0.9139318466186523,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-85.99797821044922,nan,nan,nan,1,0,0.977215051651001,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-93.09688568115234,nan,nan,nan,1,0,0.913344144821167,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-91.13545227050781,nan,nan,nan,1,0,0.9468231201171875,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-89.88502502441406,nan,nan,nan,1,0,1.0741212368011475,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-102.67749786376953,nan,nan,nan,1,0,1.005375862121582,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-20000026.0,nan,nan,nan,1,0,1.0074050426483154,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-82.79117584228516,738652224.0,-472323584.0,876753486.4617028,1,1,0.9135420322418213,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-78.76727294921875,-13996146688.0,5521937920.0,15046059966.128916,1,1,0.9267661571502686,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-81.5473403930664,-34805530624.0,7013947904.0,35505216901.43897,1,1,1.0085442066192627,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-71.9774169921875,187731279872.0,-57861054464.0,196445756039.84213,1,1,0.9388127326965332,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-80.43760681152344,-133195727110144.0,35639504404480.0,137881383785473.0,1,1,0.9910049438476562,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-86.07820129394531,-10465866.0,-22523314.0,24836143.51449419,1,1,0.9075708389282227,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-77.44268798828125,29889626112.0,4886650880.0,30286450864.01107,1,1,0.9317338466644287,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-83.27225494384766,-583170176.0,-375600032.0,693659021.5763593,1,1,0.9931352138519287,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-75.87092590332031,22118000.0,422235.5625,22122029.8994066,1,1,1.0645461082458496,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,300,-10000054.0,nan,nan,nan,1,0,1.0208399295806885,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,8219,-76.75177764892578,-23252056.0,2584992.25,23395304.938378043,1,1,0.9916207790374756,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,16138,-74.9747314453125,15242408.0,-668351.9375,15257053.97351743,1,1,0.9212138652801514,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-76.45907592773438,27391180800.0,-1039240192.0,27410888453.221592,1,1,1.009742021560669,
