variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,n,finite_loglik_rate,finite_grad_rate,loglik_mean,loglik_std,loglik_cv,grad_norm_mean,grad_norm_std,grad_norm_cv,grad_log10_median,grad_log10_mad,grad_log_sigma_v2_mean,grad_log_sigma_v2_std,grad_log_sigma_v2_snr,grad_log_sigma_w2_mean,grad_log_sigma_w2_std,grad_log_sigma_w2_snr,grad_vector_snr,grad_cosine_to_mean,grad_cosine_to_mean_std,elapsed_mean_s,n_errors,first_error
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,10,1.0,0.8,-1900073.4442588806,4012471.296111425,2.1117453687041454,9547230647.234447,18389631410.23523,1.9261744153590932,7.560623159804731,1.2097902807132308,-2085678724.5490723,19643572794.429905,0.10617613946178281,2227974985.1904144,6770161603.455049,0.32908741558745086,0.1468834568813803,-0.12409273570301532,0.7904709874775995,0.9630334377288818,0,
stop_logdet_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,10,1.0,1.0,-89.76151580810547,22.652575307032194,0.25236400146650223,15740294860.812817,44815406840.4991,2.8471770851048,6.58577097400759,1.2748160222302074,15686147099.196081,44730643448.31751,0.3506801130039657,-627130759.0653076,3007321211.0515046,0.20853467755977834,0.3501697522383195,0.6247840871714917,0.5812336239649702,0.9561423778533935,0,
stop_transition_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,10,1.0,0.9,-2000074.4184883118,6324538.307815393,3.1621514926407492,1236339904529.0396,3300843783960.011,2.6698513668192287,9.748827557549818,1.700739210189024,1169189969711.316,3194597382160.5513,0.36598977268320937,-362279244820.3125,850992238747.7255,0.42571392349408876,0.3702451840957504,0.5080363713266429,0.6767261002712115,1.0009122133255004,0,
stop_transition_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,10,1.0,0.8,-1900073.4442588806,4012471.296111425,2.1117453687041454,1383344753.7359402,2232883739.427763,1.6141194979758364,7.554674334811226,1.329554215935529,28798565.390625,2541758803.8040085,0.011330172378089112,70367733.5246582,840027014.7688648,0.08376841730979336,0.02840250226872144,0.019957067673448764,0.5483690914655115,0.9884204626083374,0,
stop_transition_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,10,1.0,1.0,-89.76151580810547,22.652575307032194,0.25236400146650223,49059366625.46832,153745942831.35406,3.1338754127237247,6.175339611305218,1.5056922810145235,-46671359782.71801,146234852548.2663,0.31915346423530366,14932869596.731762,47533375279.21412,0.31415546463963734,0.3186792436417454,0.4620689073753022,0.7796942479442281,1.0178826808929444,0,
stop_flow_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,10,1.0,0.9,-2000074.4184883118,6324538.307815393,3.1621514926407492,22498324.173076767,64579944.96808898,2.870433569686507,4.3569021346258685,1.7089943707013222,-22033030.33498637,64758631.62299702,0.34023310534501816,192803.01140827604,396595.8058716099,0.4861448571916876,0.34023975107683607,-0.0502468483222418,0.858819812490781,0.9562469005584717,0,
stop_flow_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,10,1.0,0.8,-1900073.4442588806,4012471.296111425,2.1117453687041454,61626.46980875136,169820.25023343804,2.7556381334262707,2.4066831443529773,0.8867185812504991,60039.277220249176,170460.40800508915,0.35221831229253353,775.4670664966106,1474.1499683687275,0.5260435390808514,0.3522345187731214,0.04656905774174003,0.9367205226851784,0.9739675760269165,0,
stop_flow_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,10,1.0,1.0,-89.76151580810547,22.652575307032194,0.25236400146650223,19366.597145165735,53276.04425956085,2.7509243807892987,2.491292470997677,0.7703351093586317,15253.314807128907,53219.75338638119,0.2866100242214237,-3820.649026107788,12165.496779031972,0.31405614546649063,0.28803467498974106,-0.12727480784846548,0.8980905137503498,0.9392445325851441,0,
measurement_only,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,10,1.0,0.3,-8800026.306986237,6876683.1957393605,0.7814389361859115,327075108.21344346,317677208.1711186,0.9712668442008374,8.403006001852951,0.426469302178786,-256672714.66666666,312184015.33819354,0.8221840390790327,130877483.0,198525670.2842615,0.6592471533409328,0.7787686863085898,0.32635251932749026,0.9238815308904597,0.8720018148422242,0,
measurement_only,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,10,1.0,0.1,-15400021.019442368,8071887.433404532,0.5241478192278995,627395060.8997005,nan,nan,8.797541095438474,0.0,616589952.0,nan,nan,-115937024.0,nan,nan,nan,nan,nan,0.8564406633377075,0,
measurement_only,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,10,1.0,0.2,-13900017.949657058,8102802.464415833,0.5829346763264969,2003976284845.9756,2834006449670.52,1.414191610500191,10.047884181145283,2.555035021640386,-1084220689200.0,1533280900478.269,0.7071246298455842,1685342310569.0,2383413041016.1914,0.7071129852719267,0.7071163938015065,0.9378895098487559,0.062110490144226094,0.8628197431564331,0,
